,names,scores,logfoldchanges,pvals,pvals_adj
0,RIPOR2,18.271042,3.7108562,3.262487104791871e-58,8.855794110779351e-56
1,PTPRC,17.2527,1.7356507,8.588669919341666e-55,2.141574857562357e-52
2,ANKRD44,16.72356,1.8542475,7.499607812272957e-52,1.6752248950664716e-49
3,LRRK2,16.634272,2.5137594,1.0623038429580829e-50,2.301014505898296e-48
4,SLC8A1,14.955944,1.5122932,1.684700257508794e-43,2.890136985761486e-41
5,ITGA4,13.833285,2.4321566,1.4520706162182416e-37,2.1327535817934228e-35
6,AOAH,13.264937,1.725398,2.1642280156091732e-35,2.9006065979201943e-33
7,STK17B,12.955366,1.752141,6.451848630920409e-34,7.951347243761912e-32
8,IL1R2,12.594616,3.7696557,6.192458954169548e-32,7.101127797497956e-30
9,JAML,12.553512,2.5798042,6.649092704946627e-32,7.584209785365716e-30
10,VSIR,12.4385395,2.374676,1.9685784815079861e-31,2.1986560915342318e-29
11,AL034397.3,12.2121525,2.7312362,2.0633218481210443e-30,2.2122936855553837e-28
12,ARHGAP15,12.192414,1.3615243,9.45551308088678e-31,1.0292589974951072e-28
13,PRKCB,12.163156,1.6667851,1.692120270322867e-30,1.8234083958192742e-28
14,FYN,11.852874,2.3560488,5.590469983021639e-29,5.575908758879815e-27
15,FLT3,11.836855,3.7850702,8.500628924004013e-29,8.400345006743873e-27
16,VCAN,10.689441,2.236011,2.3515843356458065e-24,1.8204828337035622e-22
17,PLXNC1,10.563227,1.7888116,6.507960467104534e-24,4.931332305886559e-22
18,MAML3,10.479914,1.3292443,1.0787517207943635e-23,8.088374790459556e-22
19,SORL1,10.462002,2.1461215,1.8372250725665486e-23,1.3538644142995558e-21
20,FCN1,10.363292,3.173646,5.1517081306872065e-23,3.682440971815215e-21
21,XYLT1,10.197299,1.6851751,1.58932247248624e-22,1.0958659517683257e-20
22,CYTIP,10.064407,2.0286698,5.74006950259924e-22,3.810837474109539e-20
23,SSH2,10.054418,1.1230196,4.431471718846662e-22,2.9603887706837326e-20
24,HLA-DQA1,9.686283,1.8461794,1.3339024344174226e-20,8.219598794151498e-19
