,names,scores,logfoldchanges,pvals,pvals_adj
0,NPL,31.157179,2.2239025,1.950753761808896e-189,4.183196366822996e-185
1,LNCAROD,29.257397,3.3325574,5.910129071141473e-161,3.1684201950389436e-157
2,DOCK4,29.099152,1.6129878,1.5050481008458785e-171,1.613712573726951e-167
3,GPNMB,26.964571,2.5958567,5.223046039718783e-142,1.40003749094662e-138
4,SYK,26.810366,1.6379074,9.971579684363964e-147,4.276611095030017e-143
5,PSAP,26.682585,2.0502517,2.1995085775591702e-142,6.738037419596978e-139
6,FTL,26.410631,2.1551454,1.6489304881488479e-139,3.928851709762655e-136
7,BMP2K,26.014696,1.6262474,1.3131024042552747e-138,2.815816795685011e-135
8,SLC38A6,25.950312,2.0802794,4.753807528122798e-135,7.281474902361806e-132
9,EML4,25.857723,1.9277698,1.253724949146436e-134,1.7923251872997452e-131
10,DMXL2,25.70773,1.6513397,1.4678217508783288e-135,2.4212284327565297e-132
11,TNS3,25.702011,1.5656132,7.3212463760574e-136,1.3083067274014574e-132
12,PLXDC2,25.690855,1.3086115,1.3520635809587688e-136,2.6357864936436217e-133
13,ATG7,25.491314,1.3589091,1.6884157195413935e-134,2.2628991681153527e-131
14,MYO9B,25.455837,1.6785814,6.76493238294119e-133,8.059289445543938e-130
15,TMEM51,25.089096,2.4686816,2.0840528153592728e-125,2.0313831169347384e-122
16,CHST11,24.895485,1.4813066,2.937678579741545e-128,3.315556813893562e-125
17,CTSB,24.860258,1.6016706,2.188659529884002e-127,2.346680747941627e-124
18,RAPGEF1,24.750572,1.6619992,1.4083661239741668e-125,1.438143007738192e-122
19,DOCK8,24.41992,1.4372466,4.902874843928344e-124,4.380718673049975e-121
20,FPR3,23.852306,1.9847194,3.942830688556743e-116,3.131483751311511e-113
21,TPRG1,23.72194,2.5305278,5.943555488302128e-113,4.2484534630383613e-110
22,MGAT1,23.683748,2.1745114,1.369046183094278e-113,1.0123388396646102e-110
23,TBC1D2,23.497906,2.4423294,5.220369237609903e-111,3.198445655180193e-108
24,GRB2,23.320591,1.5888257,1.164930926145868e-112,8.05831573557161e-110
25,FMNL2,23.063658,1.4255695,2.9534502757519213e-111,1.862758462153653e-108
26,ZNF438,23.059643,1.681496,7.124699133158746e-110,4.2439457836515594e-107
27,SDCCAG8,22.939724,1.4875817,1.4293324185003917e-109,8.065948521663789e-107
28,CTSD,22.880718,2.4219203,5.883715556784886e-106,3.004057057135598e-103
29,ZEB2,22.82891,1.1830643,1.1811028380698896e-109,6.845288989073166e-107
30,MSR1,22.779734,1.5896251,6.871052555207713e-108,3.778021820355749e-105
31,ABR,22.691227,1.5250257,3.2987315856498516e-107,1.7684500030668853e-104
32,MT-ND3,22.68339,2.189844,1.7271686508188766e-105,8.613349894920928e-103
33,FCHO2,22.616188,1.4775774,8.031366498676882e-107,4.200600565795782e-104
34,ZNF804A,22.259398,2.3225274,5.5000423528799504e-101,2.4069981268399522e-98
35,TYMP,22.215452,1.8846601,5.758897824862071e-102,2.57278760325713e-99
36,APBB1IP,21.765427,1.6382679,8.040139771580646e-99,3.0787992368174174e-96
37,CTSC,21.671972,1.7734009,1.2309364207760002e-97,4.473932306291619e-95
38,CYBB,21.58376,1.7666543,5.840962788353862e-97,2.053337803827217e-94
39,DPYD,21.555033,1.0158534,1.3958335665196442e-98,5.251272807096009e-96
40,ALCAM,21.198158,1.6971437,7.837296386714542e-94,2.6259841205735415e-91
41,IFI30,20.943197,2.3570852,3.5848192866512425e-90,1.0827164053936513e-87
42,KCNMA1,20.8698,1.5947883,2.0447185083735474e-91,6.544319954263037e-89
43,TFEC,20.838688,1.6455214,8.224613390391535e-91,2.5560668049790735e-88
44,PTPRJ,20.814348,1.3717238,1.1156062241599519e-91,3.6247060410433346e-89
45,KYNU,20.65093,1.5905957,1.4883373086331394e-89,4.372041814565622e-87
46,CEBPB,20.603851,2.1908298,1.2292535833905673e-87,3.379501774644529e-85
47,RBM47,20.548634,1.1244693,6.383427381841498e-90,1.901197455225126e-87
48,TANC2,20.527697,1.5935936,2.1794782614184504e-88,6.149569978665428e-86
49,FAM20A,20.421783,1.6820575,1.8087731963118528e-87,4.9097889141406797e-85
50,EPSTI1,20.371565,1.7165751,4.823033847979483e-87,1.2928142229509003e-84
51,CEP170,20.206661,1.3876928,1.995606212206519e-86,5.034562307594893e-84
52,MGAT4A,20.203041,1.6455725,9.406926523936836e-86,2.308583147803237e-83
53,ABCA1,20.16408,1.4230146,3.763444325963035e-86,9.384104665808294e-84
54,ARHGAP18,20.160057,1.2456735,1.5003357479596903e-86,3.8301428308628094e-84
55,PLA2G7,20.085285,2.545305,3.372471291522491e-83,7.304977209637201e-81
56,MITF,20.076258,1.4591585,4.144674092030266e-85,9.766856179065607e-83
57,MT-CO1,20.028046,1.8821564,2.3845261149809027e-84,5.558019348875052e-82
58,NPC1,19.99275,1.8979678,2.1181248850985165e-83,4.731361462088811e-81
59,SLC11A2,19.915133,1.7149498,2.5965829554642434e-83,5.681747438466861e-81
60,DOCK10,19.884687,1.4602932,6.317189519531919e-84,1.4411256601791751e-81
61,RNASE1,19.857357,2.2392921,4.010467186406436e-82,8.349559062650448e-80
62,PDE4B,19.838871,1.451338,2.2503460785991023e-83,4.974888794791664e-81
63,SNTB1,19.735352,1.8742635,1.4817272810638047e-81,3.0261104585840214e-79
64,MT-ND4,19.715675,1.8104782,9.889674487261247e-82,2.0391748048541366e-79
65,ETV6,19.661886,1.1259359,9.551378111416742e-83,2.048197522212206e-80
66,DLEU1,19.62785,1.5885171,2.0487791710814807e-81,4.1447189193086104e-79
67,FAM49B,19.622597,1.143601,2.3027920794373097e-82,4.8412817011229084e-80
68,IDH1,19.619167,2.251665,4.574807549882592e-80,8.681608238909937e-78
69,VPS8,19.510191,1.4129956,8.708203116107878e-81,1.697624614743794e-78
70,MT-CO2,19.475868,1.9132913,5.751045787421655e-80,1.0818019812760524e-77
71,C1QA,19.460896,2.1547236,3.754918199778213e-79,6.82376829458e-77
72,CLEC7A,19.43733,1.7759532,1.585369875929696e-79,2.9307475533996895e-77
73,SLC11A1,19.427385,1.6137062,1.0274342187155191e-79,1.91585212053353e-77
74,SLC16A10,19.418343,2.0348806,7.899769774799654e-79,1.4116888587566984e-76
75,CERT1,19.414707,1.3850776,4.2559713141706785e-80,8.148665076881789e-78
76,HIF1A-AS3,19.366026,2.3142166,1.171870858459559e-77,1.933046052985137e-75
77,CTSZ,19.313843,1.8894583,2.0658200059877378e-78,3.601580829951305e-76
78,GPD2,19.290726,1.7368754,2.1558648764307394e-78,3.72825535565974e-76
79,B2M,19.266418,1.5740114,1.694183705407549e-78,3.002485568492519e-76
80,MT-ND2,19.22545,1.823419,7.286684155485903e-78,1.2207473049237477e-75
81,CYP27A1,19.201935,2.8191624,2.9944367266230323e-76,4.61961878889959e-74
82,MT-CYB,19.187908,1.7901742,7.760330018188205e-78,1.2900195109304485e-75
83,ABCC3,19.13378,2.0302632,5.953640588179324e-77,9.599238253602814e-75
84,MDFIC,19.09557,1.6209047,3.6820431033337255e-77,6.027307809762474e-75
85,SIRPA,19.074953,2.069381,2.0535143851860203e-76,3.2142746332794905e-74
86,FMN1,19.052732,1.1262249,5.211850850747784e-78,8.80023068058547e-76
87,MT-ND1,19.015524,1.7923491,2.3662264187707405e-76,3.676910095950707e-74
88,HAVCR2,18.94135,1.8965942,1.3582395759532188e-75,2.065680104024172e-73
89,SLC39A11,18.880987,1.3911264,5.755740456420688e-76,8.816149881963233e-74
90,DIRC3,18.879145,1.7943048,3.2434257503922107e-75,4.8637777476510885e-73
91,C1QB,18.871387,1.9754572,5.335229717387623e-75,7.945046254143067e-73
92,FAM20C,18.834827,2.3578837,3.315351714111632e-74,4.836353888259172e-72
93,LRP1,18.803898,1.4203511,1.9614818033997678e-75,2.9621137881763815e-73
94,HLA-B,18.780836,1.6974477,9.567422426683293e-75,1.4149228035710107e-72
95,CTSL,18.742287,2.0340145,8.905571442016296e-74,1.2731404933506496e-71
96,PKM,18.702911,2.050027,1.6848727200340483e-73,2.392742424398022e-71
97,KMO,18.657597,2.4969985,1.2007645880288996e-72,1.6296959383349192e-70
98,LAIR1,18.56806,2.1305754,1.173202974538622e-72,1.602430865350714e-70
99,PIAS1,18.551525,1.0935057,4.414713401337925e-74,6.396561768803409e-72
100,SNX24,18.457327,1.5194837,1.2739466944399684e-72,1.7181454663880932e-70
101,LILRB4,18.42917,2.1844301,1.4948044941485877e-71,1.9611899701909938e-69
102,CD14,18.42598,2.0576608,1.681110838561932e-71,2.1848327770983074e-69
103,FNDC3B,18.380306,1.1122632,1.0776875200546492e-72,1.4814058448751218e-70
104,HLA-A,18.342278,1.7994694,2.4486437714049848e-71,3.14423455293464e-69
105,P4HA1,18.330887,1.6500775,2.34613128443772e-71,3.0307493532218355e-69
106,HSD17B4,18.329548,1.701234,2.7250646526650822e-71,3.478350381651787e-69
107,ATP6V0A1,18.299747,1.6379647,2.8397930660698044e-71,3.6033445271479816e-69
108,RNF213,18.221626,1.172271,1.4998841406049383e-71,1.9611899701909938e-69
109,MT-CO3,18.174776,1.7031657,1.7571832726395753e-70,2.1655769022116697e-68
110,PIK3R5,18.109007,1.2453989,1.5934850064651845e-70,1.975184536337539e-68
111,TAOK3,18.107523,1.1577586,1.1902883486818595e-70,1.4839850784380114e-68
112,KIFC3,18.095898,2.2496417,4.728847069996138e-69,5.481372787513362e-67
113,MT-ATP6,18.08084,1.7072177,1.0560994604593574e-69,1.2723031927017113e-67
114,TENT2,18.060328,1.1514978,2.933508521003552e-70,3.5540201539209134e-68
115,AL356124.1,18.047516,1.4704279,1.3370095752163594e-69,1.601722532454727e-67
116,VMP1,18.041079,1.0954684,2.66570128644616e-70,3.2479146810540595e-68
117,APOE,18.038916,2.7540362,3.339194985211095e-68,3.7886612308395093e-66
118,CD74,17.992271,1.5105972,2.9343974438686735e-69,3.457429603643947e-67
119,BACH1,17.986105,1.2459891,1.4523325355067503e-69,1.7302121606337087e-67
120,GRN,17.946314,2.0531785,3.826608970708354e-68,4.318831724624734e-66
121,LYN,17.942297,1.2718066,2.857089271697746e-69,3.3849404608998045e-67
122,HNMT,17.917133,1.4841255,8.280391423988237e-69,9.546489983656117e-67
123,CYFIP1,17.901932,1.431449,1.213136226735057e-68,1.3911493714495487e-66
124,CDCP1,17.880884,2.3392556,1.8996491669508186e-67,2.089029576209916e-65
125,RNF13,17.748137,1.1790264,6.422519903214669e-68,7.173151916902883e-66
126,NRIP1,17.715647,1.30027,1.706319690055528e-67,1.8860989398737495e-65
127,FKBP15,17.686111,1.4968543,4.705604826365679e-67,5.122182228253078e-65
128,DAPK1,17.613241,1.0851023,4.1166590818563884e-67,4.50396108935349e-65
129,MIR34AHG,17.606085,2.0936227,8.411858057413446e-66,8.885905624786892e-64
130,SGK3,17.565832,1.2578008,1.6905455057965713e-66,1.8309120114293775e-64
131,ABCC5,17.54417,1.5853294,6.469076135240489e-66,6.86746874475728e-64
132,VAV3,17.521961,1.1874592,2.749874915890099e-66,2.9337471490720043e-64
133,PTPRC,17.498226,1.0605841,1.936841834286918e-66,2.0766818147224335e-64
134,FBP1,17.489105,2.7570894,2.1037106800987787e-64,2.1380081433193466e-62
135,VAC14,17.466837,1.8721104,6.054405289004547e-65,6.211993637196818e-63
136,MT-ND5,17.456194,1.7861944,5.923990730428014e-65,6.107406597273959e-63
137,EPB41L3,17.42259,1.2741736,2.6785184353236555e-65,2.801860942784413e-63
