,names,scores,logfoldchanges,pvals,pvals_adj
79,MT-ND2,31.220299,2.778873,2.7218445448288893e-175,3.516098458994621e-173
80,ST5,31.105402,2.291835,2.8725521043982794e-176,3.779080204093049e-174
81,SSH1,31.091837,2.4966645,4.456473547501022e-175,5.722432260635444e-173
82,BGN,31.063437,4.3792763,4.831762105522876e-170,5.920703233761859e-168
83,GLS,31.057192,1.8375603,4.9588536911762245e-179,6.860494100231158e-177
84,PALM2-AKAP2,31.05692,2.2428007,3.616419280394567e-176,4.728688722486651e-174
85,NXN,31.027603,2.5472264,2.202584058623041e-174,2.811441223399553e-172
86,TANC2,30.950157,2.4155855,4.396861758189317e-174,5.579071215539155e-172
87,YAP1,30.751629,1.7464607,1.0730554782034056e-177,1.4472076524901782e-175
88,CDK14,30.687456,1.6461982,8.382099196670601e-178,1.1376312352747112e-175
89,ROR2,30.681955,2.034863,5.077064650252358e-174,6.40426908000068e-172
90,HIF1A,30.610811,2.2805688,2.760883182027944e-171,3.4025505146785763e-169
91,LIMS1,30.529324,1.946972,3.104467638732373e-173,3.893111347659474e-171
92,SND1,30.51444,2.0136805,1.6228961597134501e-172,2.023336351679955e-170
93,HIP1,30.45495,2.6047907,1.714984211860843e-168,2.077746973962933e-166
94,ENC1,30.376446,4.278566,5.101969685301378e-164,5.946012931065367e-162
95,GSE1,30.32743,2.444612,6.096017995606597e-168,7.343989320100441e-166
96,THBS2,30.273092,2.4241052,1.4768931550456036e-167,1.7693014981451355e-165
97,CYTOR,30.247002,3.4649189,5.978266775269067e-164,6.929619066425399e-162
98,ARMC9,30.13566,2.954637,2.9877593656911462e-164,3.5010662206492316e-162
99,DCBLD1,30.059044,2.965671,1.0143272563180078e-163,1.1694211658324389e-161
100,RNF24,29.9903,3.000033,8.053263509240229e-163,9.137258343499867e-161
101,AAK1,29.884628,2.060446,4.5752668947703155e-166,5.45066796063637e-164
102,AFAP1,29.792385,2.6832154,4.071198832418452e-162,4.59488356644112e-160
103,HLA-B,29.757996,3.1340303,2.465098063139922e-160,2.724822828142912e-158
104,TPM1,29.69959,1.9307008,1.144060805644855e-164,1.3479802151784764e-162
105,AC083870.1,29.611042,2.731104,7.058453390078099e-160,7.722524209022182e-158
106,ADAM19,29.603725,3.9658787,1.071356171406985e-157,1.1373347395867024e-155
107,UGCG,29.596727,2.7253017,3.30278772832451e-160,3.6320502587790146e-158
108,RAB31,29.580181,2.5334353,5.657802308203395e-161,6.286316720057698e-159
109,PACS1,29.490421,2.1437745,1.1110810201283222e-161,1.2409386143558197e-159
110,TENM3,29.439564,2.7102315,1.455308690950303e-158,1.5526188840168307e-156
111,ACTG1,29.43885,2.500753,9.745022743682244e-160,1.0554154935127375e-157
112,ATXN1,29.120586,1.4647573,1.0886356105133478e-163,1.2483797877993705e-161
113,PPFIBP1,28.938375,1.7804936,7.876151205160909e-159,8.487245549923143e-157
114,STXBP5,28.888186,1.6370282,9.587762450043048e-160,1.0436547105518941e-157
115,FGD6,28.850887,4.244675,8.010716377039025e-151,7.989851255312783e-149
116,PRKD1,28.56469,1.8158891,5.606847348901161e-155,5.865035831699341e-153
117,MPRIP,28.553923,2.4332461,1.4212295614514322e-151,1.4444003182826784e-149
118,DGKH,28.533928,2.0111244,1.3570145149919946e-153,1.3990297720907853e-151
119,ITGA1,28.492037,2.3760886,7.539457250324729e-151,7.554958938129134e-149
