,names,scores,logfoldchanges,pvals,pvals_adj
8560,MIR497HG,-2.6430893,-1.111207,0.008265018876129609,0.012256072524702533
8561,UBXN2B,-2.643201,-0.34515414,0.008252213936994933,0.012240470060518734
8562,GSPT2,-2.6436102,-1.3815345,0.008255621677056494,0.012242984179999961
8563,AC004908.3,-2.6436636,-1.684725,0.008255291551042354,0.012242984179999961
8564,LINC00536,-2.6438076,-0.75272465,0.008245663269073684,0.012232445737946459
8565,PIP5KL1,-2.6438563,-1.9790969,0.008252939863444365,0.012240700126691172
8566,C1orf195,-2.6440103,-1.4960792,0.008244240075543044,0.012231180585301303
8567,RNASEH2A,-2.6455703,-3.0225625,0.008214223705307354,0.012187491395323526
8568,C15orf41,-2.6458924,-0.22564529,0.008185727426634896,0.012147732798391608
8569,AP006623.1,-2.646092,-0.961536,0.008188838761432173,0.012151509127406512
8570,FOXD2,-2.646204,-2.659523,0.008196187150347974,0.012161571910604895
8571,TMEM143,-2.6463141,-0.5923309,0.008181600953929743,0.012142449363697792
8572,GRM3,-2.646482,-0.8801997,0.008180205498076219,0.012141218625466946
8573,FGD3,-2.647316,-1.1124431,0.008164210998574794,0.012119156905263594
8574,HIST1H3E,-2.6474123,-3.9935966,0.008173976995944915,0.012132813919917128
8575,AC104653.1,-2.6476116,-2.1836472,0.008161358492871527,0.012115761268337627
8576,TMSB15B.1,-2.6479383,-1.0188377,0.008144585511503556,0.01209169840132112
8577,AL451085.2,-2.649351,-1.4978904,0.008116802140567285,0.012052953749901313
8578,AC139100.2,-2.6493587,-2.7367082,0.008123925566186662,0.01206269629146287
8579,PHKA2-AS1,-2.64962,-1.8376336,0.008112336606503484,0.012047156938356006
8580,AL358115.1,-2.6497,-1.6223456,0.00810641176616384,0.012039192043328303
8581,RINL,-2.6499014,-1.9883323,0.008105166546548033,0.012038176438854136
8582,ZNF571,-2.6502814,-0.6315137,0.008085012581303128,0.012011570582892081
8583,GJA4,-2.6503906,-2.6283426,0.008097832905303684,0.012028950458668065
8584,ZNF843,-2.6504233,-1.7696267,0.008094025190437146,0.01202412720358394
8585,PLEKHB1,-2.6506002,-1.5432907,0.008083198821092187,0.012009707996916847
8586,AC016876.1,-2.652203,-1.5511112,0.00804820859233329,0.011959378078719081
8587,CCDC86,-2.6540298,-1.5876129,0.008005979579338723,0.011898276117495292
8588,CYP2U1,-2.654048,-0.70705944,0.007999568766022465,0.011889572540794686
8589,AC008946.1,-2.6546543,-1.5306845,0.007988603284022094,0.011874097790432508
8590,AL513327.2,-2.655042,-1.0689374,0.007973205728473745,0.011853676070534594
8591,ZNF524,-2.6550863,-1.3654386,0.007978747194070683,0.011860269986805193
8592,AL450998.3,-2.6557589,-1.3083313,0.007964694962215116,0.011841844191204393
8593,HMMR,-2.6558762,-1.4501239,0.00796082575797241,0.011836912186517846
8594,COMMD10,-2.6569135,-0.1696941,0.007921865812065415,0.011779799630672683
8595,AC112220.2,-2.657938,-1.7251397,0.007916898556377559,0.011773229725586712
8596,GNRH1,-2.6584878,-0.6503932,0.007892667787291046,0.011739638484474521
8597,AC097532.2,-2.6588995,-2.2873218,0.007893837717773768,0.011740564296014751
8598,MAP7D3,-2.660022,-0.36456838,0.007853095690796537,0.011684020259032884
8599,CARF,-2.6602435,-0.3080256,0.00784689073881,0.011675598459828034
8600,AP000266.1,-2.6605709,-4.6566772,0.007863238660557652,0.011698299558554065
8601,MALL,-2.66106,-1.1534517,0.007837975358319569,0.011663142292957104
8602,AL355377.4,-2.6614864,-2.2562072,0.007834416373487701,0.011658655427693981
8603,AL139289.2,-2.6616614,-1.5655066,0.00782708074863389,0.011648547406045187
8604,NIPBL-DT,-2.6618552,-0.51838356,0.007812709061969585,0.011627965930377276
8605,ESRRG,-2.6626122,-0.45186546,0.0078005482759760025,0.011610672397447726
8606,AL445253.1,-2.6639056,-2.6968489,0.007780848517575226,0.011582154353108644
8607,SETD7,-2.6642854,-0.25338992,0.007753128821783274,0.01154249475522914
8608,AL355512.1,-2.6645815,-0.9710915,0.007751461508801689,0.011540813760657043
8609,SH3BP5-AS1,-2.6656759,-0.45325103,0.007722986046756744,0.011499216274590445
8610,METTL18,-2.667058,-1.7506211,0.007705184138044935,0.011473506607613055
8611,LINC01963,-2.6671383,-2.3239388,0.007704432847871306,0.011473184582621686
8612,PTAFR,-2.667237,-1.1532084,0.007693668397593876,0.011459541926651601
8613,ZNF630-AS1,-2.667401,-1.552907,0.007695188048382309,0.011461009342235744
8614,ISM2,-2.6677437,-1.7314781,0.0076858893311978205,0.011448750404154353
8615,AC093690.1,-2.6686645,-1.394201,0.007664631386254503,0.011418671352427509
8616,ARHGAP11A,-2.670617,-1.0748796,0.007616698776792713,0.011348050341801079
8617,SPATC1,-2.671175,-2.2353916,0.0076120461246923215,0.011341906413139393
8618,AC021351.1,-2.6717048,-0.90688694,0.007592063223962426,0.011313704223394738
8619,SIRT1,-2.6721985,-0.3023295,0.007573729486182787,0.01128716763511736
8620,PATL2,-2.6730618,-0.6974618,0.007556572344810702,0.011265512886688034
8621,GALC,-2.6731572,-0.33673686,0.0075517501694899025,0.011259889489260289
8622,FKBP1B,-2.6732244,-2.0533435,0.007566009946602855,0.011277230645370933
8623,MAN1B1-DT,-2.673316,-1.991664,0.007565060847889529,0.011276599806905537
8624,TNFRSF4,-2.6733396,-3.8487666,0.007570713418208817,0.011283456946071024
8625,AC105052.5,-2.673405,-1.1675696,0.007553765364297088,0.01126211113620154
8626,LINC01775,-2.67376,-3.4217563,0.007560513534033408,0.011270604951255642
8627,FSCN3,-2.6739726,-1.7778033,0.007547365538381906,0.011254134385999693
8628,ABHD12B,-2.6744351,-1.2640743,0.007530749355613731,0.01123013832974832
8629,KIAA2012-AS1,-2.6745002,-1.2914124,0.007527936594397978,0.011226724551795691
8630,MFSD13A,-2.6757638,-1.1845646,0.007502518704587319,0.011191152692068064
8631,PPT2,-2.6766427,-0.74138325,0.0074801179546605335,0.011158514742242815
8632,AC011726.2,-2.677896,-2.314412,0.00746146703985425,0.011132240951967895
8633,RNF13,-2.6781778,-0.19690193,0.007437919185779355,0.011097880532970531
8634,DDX43,-2.6787953,-1.1567092,0.007435850590827627,0.011095566075409341
8635,AC023906.4,-2.6797266,-2.314661,0.00742423391895934,0.011079002933762289
8636,TLE6,-2.6798253,-1.488856,0.007413789388192597,0.011066497260225674
8637,LIPH,-2.682371,-1.0679386,0.007353431371380636,0.010977929708151375
8638,BTBD8,-2.6823735,-0.33410284,0.007347870348473391,0.010970391405184389
8639,ITGB1BP1,-2.683084,-0.23515593,0.007330698954185535,0.010946278697413455
8640,PRR22,-2.6835396,-1.6590537,0.007334702521752016,0.010951494281886243
8641,AC110760.1,-2.6849613,-1.9663732,0.0073040888638620325,0.010907303732357758
8642,AL136115.2,-2.685817,-1.0927967,0.007279698541291674,0.010872395564804196
8643,AC010148.1,-2.6887476,-0.8940284,0.0072131235264568236,0.010776717125433018
