,names,scores,logfoldchanges,pvals,pvals_adj
0,MT-CYB,33.077732,5.921676,6.814966550316999e-55,1.1470968815148958e-53
1,MT-ATP6,29.760227,5.9941425,9.945389738432008e-51,1.5277144523706015e-49
2,MT-ND4,28.899075,5.712238,1.5449041394279153e-49,2.302218510485908e-48
3,MT-CO1,28.747534,5.6043487,1.7237288397174436e-49,2.5651381845177556e-48
4,MT-ND3,27.002485,5.8350024,7.978963621814924e-47,1.0982085744942184e-45
5,MT-CO3,26.334698,5.67436,4.851881232674612e-46,6.580881793388639e-45
6,MT-CO2,25.487879,5.6813574,8.465988222274608e-45,1.109686133486899e-43
7,CD63,19.048162,5.5319705,2.64213555461442e-34,2.5237396362205622e-33
8,MT-ND2,18.948597,5.1120415,3.3354619137808155e-34,3.177505343363652e-33
9,COL6A2,18.336563,4.3065553,3.647249030233581e-33,3.340948663149462e-32
10,MT-ND1,18.081593,5.214524,1.1737248493661812e-32,1.0557615633308888e-31
11,COL1A2,17.770897,4.0971427,3.236222640553547e-32,2.8700396320938903e-31
12,DCN,15.420932,3.9777515,9.39330102177396e-28,6.986817450951122e-27
13,C1R,15.258217,4.7614822,2.3199499998645692e-27,1.696181650088504e-26
14,EEF1A1,15.049989,4.812116,5.981264759702722e-27,4.2882728688420315e-26
15,C3,14.803971,5.073515,1.7912641992657135e-26,1.2598186123008843e-25
16,CST3,13.712216,5.1254063,2.7957542159618316e-24,1.8030722829198654e-23
17,SERPING1,13.524306,4.6752505,6.564093383278901e-24,4.1719151900128255e-23
18,C1S,13.263799,3.6298172,2.01353407271655e-23,1.251905614825564e-22
19,MT-ND5,12.621713,4.4412317,4.549126591732487e-22,2.6755751682147953e-21
20,RPLP1,12.608642,4.712535,4.982521338512628e-22,2.9248614175489953e-21
21,CD81,12.59859,5.097502,5.306291895901081e-22,3.108965120647617e-21
22,ACTB,12.562835,4.4015923,6.0695379074092e-22,3.552269947775188e-21
23,COL1A1,12.049308,4.699539,6.938572555932449e-21,3.8677086012325304e-20
24,RPL13,11.919407,4.449927,1.3469521632432963e-20,7.404266133962893e-20
25,HSP90B1,11.547431,4.361621,8.152390645004136e-20,4.3165398763325606e-19
26,FN1,11.510363,3.3832943,8.788531971813753e-20,4.641903438511678e-19
27,MGP,11.359703,4.622048,2.0052725185997409e-19,1.0401805488353372e-18
28,LUM,11.334708,4.9253454,2.3147930464389383e-19,1.1949547926778186e-18
29,FTH1,11.3223715,3.7122357,2.345123817864883e-19,1.2103209422453563e-18
30,PSAP,11.016666,4.305356,1.0840104611118926e-18,5.409709175723394e-18
31,IGFBP7,10.703995,3.6042883,4.7243927331627394e-18,2.2715219230928654e-17
32,RPL13A,10.684332,4.1359415,5.484097764001493e-18,2.629718078069052e-17
33,ITM2B,10.5227585,3.5843568,1.1873053213341828e-17,5.589588432643297e-17
34,ACTG1,10.505349,4.029173,1.3198566588085078e-17,6.198643493536934e-17
35,FTL,10.490509,4.3287683,1.4294853771392948e-17,6.698838380108181e-17
36,S100A6,10.39244,4.6984644,2.3363368630422528e-17,1.0813815603513505e-16
37,IGFBP6,10.298527,5.111823,3.726363809360558e-17,1.7085342212513961e-16
38,B2M,10.261232,4.0870266,4.3693503778108666e-17,1.9960875479713725e-16
39,TIMP1,10.134839,4.3744674,8.135276143108481e-17,3.6603621823923265e-16
40,MMP2,9.919429,3.9863415,2.358498760397407e-16,1.0325775299706411e-15
41,RPS18,9.6371975,4.261097,9.603912425971705e-16,4.069280736268272e-15
42,SPARC,9.560892,4.027857,1.3852266011967082e-15,5.821046293565003e-15
43,CFD,9.55245,5.59296,1.4706400561419828e-15,6.166680751644247e-15
44,CLU,9.551013,5.609881,1.4886402227090596e-15,6.2384993034537956e-15
45,IGFBP4,9.436689,3.4163485,2.5193766765175157e-15,1.0437695798153325e-14
46,VIM,9.2646265,3.0836897,5.809221371880501e-15,2.36471038531901e-14
47,APP,8.986623,2.8458693,2.287090826702564e-14,9.020484768771341e-14
48,RPL41,8.984849,3.5582073,2.3637334007272466e-14,9.31591601639314e-14
49,SERPINF1,8.872091,4.2923083,4.1742129489766586e-14,1.6171964313975693e-13
50,RPL10,8.861935,3.5202107,4.327335189068973e-14,1.6737982646896656e-13
51,HLA-A,8.854193,3.761834,4.521303233183193e-14,1.7472486309673883e-13
52,TIMP2,8.8279295,3.665857,5.1350828943346855e-14,1.9783815592187025e-13
53,COL6A1,8.765445,2.820484,6.777392104013187e-14,2.590169243957562e-13
54,GSN,8.624262,3.197064,1.3740882027000033e-13,5.15138940886344e-13
55,IFITM3,8.524514,3.9935868,2.294523226711496e-13,8.49512363149194e-13
56,MFAP4,8.472203,4.8845477,2.9886301160407593e-13,1.0981525738241611e-12
57,HSPA5,8.452683,4.2666717,3.274296683419753e-13,1.2012663486613034e-12
58,RPL28,8.376078,3.779005,4.732406171673166e-13,1.7188637863373875e-12
59,VCAN,8.373014,2.8324754,4.647628691077307e-13,1.6895024521353074e-12
60,FBLN1,8.366268,2.9220798,4.834098757974978e-13,1.7543139916401328e-12
61,THY1,8.355664,5.021673,5.292026221013221e-13,1.9143422787349444e-12
62,RPS27A,8.1757555,4.175284,1.2655342648364989e-12,4.484156770514522e-12
63,ISLR,8.130989,5.1909122,1.5842319372409145e-12,5.565574977423684e-12
64,RPS8,8.127771,3.6939218,1.5903083757977844e-12,5.586007012384552e-12
65,LAPTM4A,8.068802,3.9543285,2.1264330295567772e-12,7.398869038749883e-12
66,PPIB,8.029368,4.2158227,2.581951594299266e-12,8.95187873696903e-12
67,TPT1,8.002623,3.1967003,2.898295770278855e-12,1.001305856256803e-11
68,RPL11,7.96711,3.7867327,3.4789423102352565e-12,1.1953603413024331e-11
69,RPS12,7.9495606,3.8035195,3.787157012654431e-12,1.2975202904515358e-11
70,LGALS1,7.8693438,4.332279,5.616510299180837e-12,1.9054017854079082e-11
71,TMSB10,7.826345,3.3241484,6.837612735174191e-12,2.3083401683418662e-11
