,0
CDK1,0.0005698235452089
TOP2A,0.0005298365835337
ANLN,0.000516575379379
KIF4A,0.0005148303923118
SDK1,0.0004777152846719
GAPDH,0.0004773562645073
PTMA,0.0004758560762905
AURKB,0.0004544939888782
HJURP,0.000450495052593
S100A10,0.0004448751245907
ARHGAP11B,0.0004399620305483
UBE2C,0.0004356033209426
ASPM,0.0004351167629149
TUBB4B,0.0004321243781141
S100A11,0.0004281837484023
KIFC1,0.0004190881559119
HSPE1,0.000414151760967
ECT2,0.0004087234130993
PPIA,0.0004083384412489
HSPD1,0.0004038704912313
MKI67,0.0004006880100605
DEPDC1B,0.0003968494742748
SMC4,0.0003902603516148
RRM2,0.0003775598361938
FAM83D,0.0003752021210089
SKA3,0.0003747339967055
BUB1B,0.000374357606787
NUSAP1,0.0003726853423537
MYBL2,0.0003713561249667
MAP3K20,0.0003669811355073
TICRR,0.000362698028341
DIAPH3,0.0003621044038925
TUBA1B,0.0003618129362151
CENPK,0.0003596131878334
TPX2,0.0003555520640372
PRR11,0.0003539424508013
KIF18B,0.0003530118741302
PIF1,0.0003514358195945
KIF14,0.000350395153485
TUBB,0.0003475838404634
GEN1,0.0003455852411361
BIRC5,0.0003434909579586
DGKH,0.0003430362776355
SAPCD2,0.0003428055495481
BRI3BP,0.0003418265758557
MICAL3,0.0003408220392023
H2AFV,0.0003397616849403
BUB1,0.0003391471503404
EEF1G,0.0003363899620975
ARL6IP1,0.0003325298438987
PDIA3,0.0003319302283223
YBX1,0.0003265577548969
HSP90AB1,0.0003215217911075
POLQ,0.0003214104978622
RAN,0.0003134213522051
PBK,0.0003131032279056
SGO2,0.0003120473605978
NPM1,0.0003118657746529
KIF11,0.0003084613874418
KPNB1,0.0003074224164616
EXO1,0.0003073714653651
ATAD2,0.0003058726612821
KIF22,0.0003043331183171
CTPS1,0.0003036181581414
SNRPB,0.0003027444548264
BICD1,0.0003003210652076
PTDSS1,0.0002994436933435
BRIP1,0.0002985787570834
UHRF1,0.0002980776425608
EPHB2,0.0002962826301654
UBE2T,0.0002948998897169
NAP1L1,0.000292044221508
CKAP2,0.000291575209398
NEIL3,0.0002914701255164
KIF18A,0.000289844384633
OSBPL10,0.0002895985367247
KIF23,0.0002880771446137
NONO,0.0002876916379709
E2F7,0.0002876614545287
ZNF695,0.0002868048810247
EEF1A1,0.0002867403159743
SNRPF,0.000286449468401
FAU,0.0002863892427595
CENPF,0.0002861085510803
SET,0.000284898957977
KPNA2,0.0002839408632233
CANX,0.0002823571459072
KIF20B,0.0002811458587499
GTSE1,0.0002810652391442
KNL1,0.0002810566191483
IL17RB,0.0002799782442516
TTK,0.0002794076700974
NFIA,0.0002792249172791
C12orf75,0.000279189048964
ASF1B,0.0002789353082174
NUCKS1,0.0002785722464243
HMGN2,0.0002777076988226
HSP90AA1,0.0002773646111064
HMGA2,0.0002755131175278
PPIB,0.0002736506026912
DLGAP5,0.0002720829408013
CEP192,0.0002720533864406
HSPA5,0.0002716960003349
FAM111B,0.0002706284497182
SMC3,0.000269962729427
SRSF1,0.0002698759932722
LRRC58,0.0002695508018511
DLEU2,0.00026853975357
RRM1,0.0002685101095353
EEF1B2,0.0002683822149046
CACYBP,0.0002670175588163
RASGEF1B,0.000266989431935
CDC20,0.0002652605439063
HMGB1,0.0002636189478116
LRP8,0.0002622680028719
BLM,0.0002614673673477
TROAP,0.0002613233481459
NHSL1,0.0002602115477643
FEN1,0.0002599764388325
WWOX,0.000259883013128
PKM,0.0002598682372988
ESCO2,0.0002590163946881
SRGAP2,0.000256711480947
RPRD1B,0.0002560739092149
CKS2,0.0002560463711611
NCAPG2,0.0002549534769758
SMC1A,0.0002534603073473
