,0
TBC1D4,0.00089108933603355
RORA,0.0007880950131778999
LRMDA,0.00078263873968175
LDB2,0.0007730519520124
ESRRG,0.0007468092624870501
CACHD1,0.00072060078817835
DOCK4,0.00071967370067865
BNC2,0.000718267329843
CACNA2D1,0.00069179058573615
PALMD,0.0006493638002129
CHRM3,0.0006275505671853767
MPDZ,0.0006161761315748001
COBLL1,0.00060583135120425
ADAM28,0.0005857914303895001
ERO1B,0.0005852502127235
ANTXR1,0.0005733705273498
RASSF8,0.00056066841671405
COL4A5,0.0005564352692874
SNTB1,0.0005555936012423335
PTPRG,0.0005549469010014499
PTPRM,0.00055089265132725
MDFIC,0.0005439600807938
NTN1,0.00054326791948885
FOXN3,0.0005361772753292499
ADAMTS9-AS2,0.00053121007785485
FHIT,0.00052841190147265
PLCL2,0.0005185434151103001
CYP7B1,0.00051403472986535
MAPK10,0.00051340331202745
LAMA2,0.0005088328705257501
SIK2,0.00050338867828975
FAM110B,0.0005010463378170001
FERMT2,0.0004982064374601
FYN,0.0004941053687259
ITPR2,0.00048798609526865
ARID5B,0.00048512370122265
WIPF1,0.00048106478449339994
EPB41L4A,0.00048072517377484997
SIX1,0.000480717229931
PPP1R9A,0.00047972812077624996
PTPRD,0.00047844317069375
NRCAM,0.00047326708353155
TLR2,0.00047228264814735
TOX,0.00047192270954305
PDE10A,0.0004717410324009
PDE4B,0.00047157677406335
DOCK8,0.00047102404214454996
CLECL1,0.0004674651406377
RBMS3,0.00046367234430625
CHST1,0.00046208707154
GNAI1,0.0004620660651451
PDGFD,0.0004616356996286
WWOX,0.00045841111288465
SNED1,0.00045702207719014996
AKT3,0.00045571143048608843
MYCT1,0.0004493297730788
CALD1,0.00044807856146839996
RALYL,0.00044606258261505
CELF2,0.0004445033541111
MAGI1,0.0004413448257250871
PRTG,0.00044090337843275
DLG2,0.00043638608421395
NREP,0.00043468675652949995
ROR2,0.00043317477462014996
SLC1A3,0.00042540011708344996
CHST11,0.0004202260803835
MAGI2,0.00041974475719635
SLC38A11,0.00041561476079409994
TTC28,0.00041515435901045
TNS1,0.00041448373935105
CACNA1C,0.0004138376798421
KCNQ1,0.00040943823001385
ENAH,0.00040772060466465004
ST6GAL1,0.00040367085371655
XACT,0.0004025026393117
MCC,0.00040248302780955
MAST4,0.00040058449646445
PRKN,0.00039907303437664997
PRKY,0.00039504507572805003
SYNDIG1,0.00039392483510335
RNLS,0.00039330034270995
FGF13,0.00039081189390965
SLC24A3,0.00038774470064235
ARL15,0.0003868615998824
ZMAT1,0.00038619889825070004
FTX,0.00038551965055205
CCDC102B,0.00038496140493134997
SLC16A10,0.0003840145452144
CDK6,0.00038027900608071023
KLF12,0.00037958386692524997
SYNE1,0.00037881305177584997
UBE2E2,0.0003785037236714963
PDE1A,0.00037781535356125003
FCHSD2,0.0003775932642167
ST3GAL6,0.0003774949890539
ETV5,0.0003758334671797
GPC6,0.00037483523874249193
PRKD1,0.0003727882619464
MICU3,0.0003696890258269
RTL1,0.00036959801155161064
RNF130,0.0003689522940018
CSRNP3,0.00036829730853195
ST6GALNAC3,0.00036767185699610003
BICC1,0.00036578584586070004
ZNF385B,0.00036428150067975
WASF3,0.00036410699832625
PRKCH,0.00036342854531225
SLC16A7,0.00036297155624295
SLC19A3,0.00036239781363315
TRIM24,0.00036131645174735
IGF1R,0.00036022503067855
MYO5A,0.00036007502110495
DOCK2,0.00035668648876005
TANC2,0.0003566115400708
RNF180,0.0003560296188312
HMGCS1,0.0003559439661312
GCNT2,0.00035284372736955
PTPRC,0.00035184499052335
CHRM3-AS2,0.0003517942790332533
SORBS2,0.00035074752866145
ZBTB16,0.00035062520236491256
HS6ST3,0.00035047131775549996
NCOA1,0.00035012740527114996
FRMD4A,0.00034895421102075
PTPRZ1,0.0003487948046453687
FUT9,0.00034647475597985
IL1R1,0.00034502145501905004
ARMCX2,0.00034441726280655003
ZBED3-AS1,0.00034378104033754996
PLCXD3,0.00034259976781585003
ABCA1,0.00034241866775654997
ADAMTS7,0.00034221017071605
STARD13,0.00034187002493725
KIF26B,0.0003416980773065
TACC1,0.0003411929440978
PLSCR4,0.00034110845362515205
CD33,0.0003407267489924
PLAGL1,0.0003395998700506
APBB1IP,0.00033929405686695
SNHG14,0.00033729866770291795
TMEM131L,0.00033709870732900004
PDGFC,0.0003366720748549
SHISA6,0.00033659334338405
DMD,0.00033608096214025
CARMN,0.000335536959714764
CEP85L,0.0003309485496374
S1PR3,0.0003302150279986
SFMBT2,0.00033009019892302525
PLCL1,0.00032855464020784995
TET1,0.00032631442025074996
PTPN13,0.0003248708831917439
PDZRN3,0.0003242238789486
RCAN2,0.0003234514575983358
MIR503HG,0.0003226604000101
RGMB,0.0003226232877290179
EPB41L3,0.00032218484172605945
TTN,0.0003216472746838
PAK3,0.0003211892377893
ARHGAP15,0.00032113049453825
COLEC12,0.00032064851327205
EVL,0.00032033391852925
ANKRD44,0.0003202958393311
PLCB1,0.0003200914903659
CNTLN,0.00032002178182895
DPH6-DT,0.00031992175205454996
IRAK3,0.00031891643273475
MS4A7,0.0003185757194413
CFH,0.000318026893766
MSRB3,0.00031693321593135
ADAP2,0.0003167194561036
FNBP1,0.00031604507339555
HIP1,0.00031600928902685
RUNX1T1,0.00031564351212496743
TNS2,0.0003156364139276
TSHZ2,0.0003155732566931
ZNF618,0.00031543970041265
COL5A2,0.00031456730415975
CLEC3A,0.000313448387784
SLIT3,0.0003133731658018
TBCEL,0.00031257556193645
LIFR,0.00031209620134905
HACD1,0.00031128458682785
FIGN,0.0003102429901651
PTGER3,0.00030960492823115
LONRF2,0.00030916223657899997
SLC12A2,0.0003080609055631
PRDM6,0.00030746167177225
TUT4,0.00030719298790995
APCDD1,0.0003070753159517
GPHN,0.0003069579530238
FRY,0.0003068449547823
FAXDC2,0.00030682834085963705
FCGR1B,0.0003067059580669
GAB2,0.0003067059293763
SUGCT,0.0003063888853396
RERGL,0.000305629786319
PAPSS2,0.00030444995156575
PREX2,0.00030406773325806206
ZEB2,0.00030340610065275
GPC6-AS2,0.0003033205268774466
PHACTR1,0.0003029865134611
MRAS,0.00030250270071565
RHOJ,0.00030051909308790003
DOCK10,0.00030028367438200004
SOAT1,0.00029950036186115
AP001094.2,0.00029879688649515
DGKG,0.00029850163069155
TENT5C,0.00029739037740465
GPR162,0.0002962659170868
