,0
EEF1A1,0.0024296044813362
S100A6,0.0022578322924432
B2M,0.0020675115337538
PTMA,0.0019850228551336
TMSB10,0.0019049164091198
SNCG,0.0018839783590364
HLA-B,0.0018675194959258
CD63,0.0017469776145812
FTH1,0.0017236843692754
CD74,0.0017149655547809
GSTP1,0.0017120799937407
CFB,0.0017076846761794
ACTB,0.0016937550846896
HSP90AB1,0.0016826559782641
H3F3A,0.0016724369170729
ATP1B1,0.001669125461916
CSTB,0.0016078942141905
TPT1,0.0015915343161394
HSP90AA1,0.0015757898363734
HLA-A,0.0015617808661638
SSR4,0.0015021785656304
HLA-DRA,0.0014994717988088
PRDX1,0.0014884887860759
EEF1G,0.0014843829474499
IGFBP2,0.0014831169913089
LCN2,0.0014539776262777
HSPA5,0.0014498717961553
CALR,0.0014363071401268
CLIC1,0.001429225457209
EIF1,0.0014209401790493
FAU,0.0014206668839029
CYBA,0.0014065464634656
MDK,0.0014032098332188
TMSB4X,0.0013951886794589
WFDC2,0.0013947795696912
IFI27,0.0013567110112804
UBA52,0.0013502139976299
KRT18,0.0013251153846751
S100A11,0.0013109117984855
PSAP,0.0012982860401234
CST3,0.0012943171179097
UBC,0.001277426364538
TMBIM6,0.0012682156578544
HSP90B1,0.0012663956956031
EPCAM,0.0012592776816899
S100P,0.0012573060610261
ACTG1,0.0012506218919717
NACA,0.0012492996168371
CANX,0.0012343012755674
UQCRB,0.0012342799434381
COX4I1,0.0012320090333332
GAPDH,0.001229391471643
P4HB,0.0012289106505209
KDELR2,0.0012283328557093
PDIA3,0.0012270561343412
SPINT2,0.0012242143857831
CFL1,0.0012152601810356
TSPAN8,0.0012034282911025
FTL,0.0011852236401067
IFI6,0.001165817981755
HSPA8,0.0011646381627342
PPIB,0.0011599283070179
NME2,0.001153577800546
ATP6V0C,0.0011436444134588
NDUFA4,0.0011429209316597
SERPINA3,0.0011371201280352
ATP5F1E,0.001136428265994
COX6C,0.0011328532387755
MYL12B,0.0011242547941685
BST2,0.0011195301550245
KRT8,0.001113558034781
RACK1,0.0010987147407102
EEF1B2,0.0010940791619617
ITM2B,0.0010842133625725
EEF2,0.0010752995263461
NDUFA13,0.0010740184806398
TUBA1B,0.0010635414545708
PPIA,0.0010634710528689
CHCHD2,0.0010617729140623
ISG15,0.0010544049987981
SLC25A5,0.001051014590405
SLPI,0.0010444020038465
ATP1A1,0.0010429711749877
MYL6,0.0010379204177611
OAZ1,0.0010365912067766
TM9SF3,0.0010256766875928
SSR3,0.0010162539620432
NPM1,0.0010150659327736
SOD1,0.0009948144000329
PPDPF,0.00099398407627
IGFBP3,0.0009870680036089
APLP2,0.000984255129151
LGALS3BP,0.0009806992248915
LSR,0.0009798916187186
TMED9,0.0009735861308483
YBX1,0.0009735419746866
SERF2,0.000965036474474
HLA-C,0.0009620314514567
TM4SF1,0.0009575709146886
HLA-DPA1,0.000946656485959
LAMP1,0.0009422072062675
RABAC1,0.0009416688149139
PFN1,0.0009370381235062
HLA-DRB5,0.0009290179677329
SET,0.0009263674159294
ARL6IP1,0.0009239132416936
COX6B1,0.0009126861948674
TFF3,0.0009116989592682
NDUFB4,0.0009110253971666
TMED2,0.0009064703555494
PSME2,0.0009008844822463
PRDX4,0.0008965985704653
HLA-DPB1,0.0008949494578682
YIF1A,0.0008922202517588
ATP5F1B,0.0008892509119229
MUC1,0.0008827388976643
HSPE1,0.0008826192394372
S100A10,0.0008803171398689
LDHA,0.0008763192085885
CTSS,0.0008739729335988
CD24,0.0008668072885865
MIF,0.0008649081262798
COX7C,0.0008633531297379
COX7A2,0.0008610275193611
CYCS,0.0008607855671955
GRN,0.0008578149284686
TACSTD2,0.0008565769616007
TAGLN2,0.000856556440932
NDUFC2,0.0008540584028483
RPN2,0.0008534666760517
TMEM258,0.0008529174216631
BSG,0.0008475880418626
SEC62,0.0008472675289069
EIF5A,0.0008468802304009
CSNK2B,0.00084411656126
SYNGR2,0.000843218656628
MT2A,0.0008430800752753
SLC2A1,0.0008430050395851
PDIA4,0.0008353750490898
HLA-DMA,0.0008350110562353
LY6E,0.0008291085529643
NDUFS5,0.0008286350940155
FXYD3,0.0008259680522126
KDELR1,0.0008259014156875
SEC61G,0.0008208232373319
ELOB,0.0008173133855392
RTRAF,0.0008170191863403
UQCRH,0.0008159120654284
RPN1,0.0008148921849247
PRDX5,0.0008047454088795
ATP6V0B,0.0007998381382212
NCL,0.0007991451046947
H3F3B,0.0007986893964597
EEF1D,0.0007982910603928
ATP5MC3,0.0007954848534524
LAPTM4A,0.0007948494074086
HNRNPA1,0.0007943695392809
TMBIM4,0.0007923110702411
SEC11C,0.0007918242435958
PDIA6,0.0007883217484534
COX8A,0.0007880098718798
CTSB,0.0007873351764433
TXN,0.0007870054623365
IFI30,0.0007855862150896
C19orf33,0.0007842413093657
OS9,0.0007836276897961
OSTC,0.000783474132115
SNRPD2,0.0007794876177504
SAP18,0.0007759311340478
BCAP31,0.0007730517214566
JTB,0.0007727948144408
ATP5MF,0.0007727206622953
UBL5,0.0007641878456694
DBI,0.0007629652670241
FABP5,0.0007610194451528
MYL12A,0.0007580810180955
LMAN2,0.0007557279632907
DYNLL1,0.0007489832085058
ADIRF,0.000748892107645
CCND2-AS1,0.0007476666755502823
SPCS2,0.0007461691172868
DDOST,0.0007418175592519
SLC25A6,0.0007417228941456
SSR2,0.00074025935268
TGOLN2,0.0007388804757838
NME1,0.0007362414941486
COX6A1,0.000735658806424
GPX4,0.0007319154219573
TSPO,0.0007291795781821
UQCRQ,0.0007285669032993
TMBIM1,0.0007274491119415
PSMA7,0.0007257072554863
NOP53,0.0007215241891243
PFDN5,0.0007209025358735
PABPC1,0.000717116880065
CLDN7,0.0007165075144045
TMED7,0.0007158458929858
SKP1,0.0007124153236065
HMGB1,0.0007118801229336
TMEM59,0.0007106393883127
NQO1,0.0007102852151417
HLA-E,0.0007076899751442
PIGR,0.0007046486397456
PARK7,0.0007032840571996
SH3BGRL3,0.0006981526443703
KRT19,0.0006964682164989
TSPAN13,0.0006963440669453
COX7B,0.0006942850372781
MYDGF,0.0006938682588674
COX5B,0.0006937803849019
TMED3,0.0006931566221637
BTF3,0.0006904219873601
SDC4,0.0006897070175779
NDUFB11,0.0006894558705021
TRMT112,0.0006877159606019
CTSD,0.0006856265782388
RNASE4,0.0006849638367906
TUBB4B,0.0006844690733126
NDUFB7,0.0006841413215239
CLU,0.0006828580815863
PSMB3,0.0006795797793687
PSME1,0.0006792949809379
STMN1,0.0006773148517278
PRELID1,0.0006750908332016
KRTCAP2,0.0006744375614714
